Scenario,Task no.,Action Mode,Deixis Reference,Deixis Role
F2F,Task1,Select,Object,Coordinate with Action
F2F,Task1,Move,Object,Express Idea
F2F,Task1,Move,Object,Express Idea
F2F,Task1,Point specifically,Position,Express Idea
F2F,Task1,Move,Object,Seek Confirmation
F2F,Task1,Move,Object,Coordinate with Action
F2F,Task1,Point specifically,Position,Coordinate with Action
F2F,Task1,Move,Object,Coordinate with Action
F2F,Task1,Observe,Event,Express Idea
F2F,Task1,Describe using gesture,Object,Express Idea
F2F,Task1,Move,Object,Coordinate with Action
F2F,Task1,Move,Object,Express Idea
F2F,Task1,Move,Object,Coordinate with Action
F2F,Task1,Move,Position,Coordinate with Action
F2F,Task1,Move,Object,Express Idea
F2F,Task1,Move,Object,Express Idea
F2F,Task1,Point specifically,Object,Express Idea
F2F,Task1,Observe,Event,Seek Confirmation
F2F,Task1,Observe,Object,Reflection
F2F,Task2,Describe using gesture,Scale,Express Idea
F2F,Task2,Describe using gesture,Position,Express Idea
F2F,Task2,Point specifically,Position,Express Idea
F2F,Task2,Describe using gesture,Position,Seek Confirmation
F2F,Task2,Point specifically,Position,Seek Confirmation
F2F,Task2,Draw,Scale,Coordinate with Action
F2F,Task2,Draw,Object,Coordinate with Action
F2F,Task2,Point generally,Position,Seek Confirmation
F2F,Task2,Point specifically,Position,Express Idea
F2F,Task2,Point generally,Position,Reflection
F2F,Task2,Point generally,Position,Seek Confirmation
F2F,Task2,Observe,Scale,Reflection
F2F,Task2,Describe using gesture,Scale,Reflection
F2F,Task2,Point specifically,Position,Express Idea
F2F,Task2,Point specifically,Position,Seek Confirmation
F2F,Task2,Point specifically,Position,Express Idea
F2F,Task2,Describe using gesture,Object,Take Example
F2F,Task2,Point specifically,Position,Express Idea
F2F,Task2,Draw,Position,Express Idea
F2F,Task2,Point specifically,Position,Reflection
F2F,Task2,Draw,Position,Coordinate with Action
F2F,Task2,Draw,Object,Coordinate with Action
F2F,Task2,Draw,Scale,Coordinate with Action
F2F,Task2,Point specifically,Object,Express Idea
F2F,Task2,Point specifically,Position,Express Idea
F2F,Task2,Point specifically,Position,Seek Confirmation
F2F,Task2,Point generally,Position,Coordinate with Action
F2F,Task2,Draw,Event,Reflection
F2F,Task2,Point specifically,Position,Seek Confirmation
F2F,Task2,Point specifically,Position,Seek Confirmation
F2F,Task2,Point specifically,Position,Reflection
F2F,Task2,Draw,Position,Coordinate with Action
F2F,Task2,Point specifically,Position,Reflection
F2F,Task2,Point specifically,Position,Seek Confirmation
F2F,Task2,Draw,Object,Reflection
F2F,Task3,Point generally,Object,Express Idea
F2F,Task3,Point specifically,Object,Express Idea
CSCW,Task1,Observe,Event,Express Idea
CSCW,Task1,Observe,Object,Express Idea
CSCW,Task1,Observe,Event,Reflection
CSCW,Task1,Observe,Object,Express Idea
CSCW,Task1,Observe,Object,Express Idea
CSCW,Task1,Observe,Object,Express Idea
CSCW,Task1,Move,Position,Express Idea
CSCW,Task1,Move,Object,Express Idea
CSCW,Task1,Move,Object,Express Idea
CSCW,Task1,Observe,Object,Express Idea
CSCW,Task1,Move,Position,Express Idea
CSCW,Task2,Observe,Position,Express Idea
CSCW,Task2,Draw,Position,Seek Confirmation
CSCW,Task2,Move,Object,Coordinate with Action
CSCW,Task3,Observe,Event,Express Idea
CSCW,Task3,Observe,Object,Reflection
CSCW,Task3,Input data,Object,Express Idea
CSCW,Task3,Observe,Time,Seek Confirmation
CSCW,Task3,Input data,Time,Coordinate with Action
CSCW,Task3,Observe,Time,Coordinate with Action
CSCW,Task3,Observe,Object,Express Idea
CSCW,Task3,Observe,Object,Seek Confirmation
CSCW,Task3,Draw,Event,Reflection
CSCW,Task3,Observe,Event,Coordinate with Action
CSCW,Task3,Observe,Object,Reflection
